bandID,songID
B87963,S36518
B87963,S40268
B87963,S44718
B87963,S54075
B87963,S61871
B87963,S67795
B87963,S93226
B96605,S01370
B96605,S04908
B96605,S07990
B96605,S20742
B96605,S22762
B96605,S24047
B96605,S25302
B96605,S28581
B96605,S30102
B96605,S35790
B96605,S36671
B96605,S40133
B96605,S41824
B96605,S44173
B96605,S45733
B96605,S46253
B96605,S55378
B96605,S60954
B96605,S63001
B96605,S63928
B96605,S64721
B96605,S70486
B96605,S73909
B96605,S74605
B96605,S78213
B96605,S78429
B96605,S79637
B96605,S81690
B96605,S92809
B96605,S94948
B97748,S04320
B97748,S29161
B97748,S31005
B97748,S39981
B97748,S50355
B97748,S77788
B97748,S79613
B97748,S82947
B97748,S86967
